,Date,Predicted,actual
0,2017-11-22,1188.227328646183,1192.1
1,2017-11-22,1187.060875800252,1192.1
2,2017-11-22,1187.1862506210803,1192.1
3,2017-11-22,1187.1862506210803,1192.1
4,2017-11-22,1188.0944097816944,1192.1
5,2017-11-22,1191.1382517784834,1192.1
6,2017-11-22,1190.8278682678938,1192.1
7,2017-11-22,1188.0944097816944,1192.1
8,2017-11-22,1190.8278682678938,1192.1
9,2017-11-22,1190.6295676916836,1192.1
10,2017-11-22,1189.828462103009,1192.1
11,2017-11-22,1188.4920886546372,1192.1
12,2017-11-22,1188.0944097816944,1192.1
13,2017-11-22,1188.0944097816944,1192.1
14,2017-11-22,1191.1382517784834,1192.1
15,2017-11-22,1182.5010402679443,1192.1
16,2017-11-22,1190.2002756834029,1192.1
17,2017-11-22,1190.6856091588736,1192.1
18,2017-11-22,1188.0944097816944,1192.1
19,2017-11-22,1188.0944097816944,1192.1
20,2017-11-22,1188.0944097816944,1192.1
21,2017-11-22,1190.9679719358683,1192.1
22,2017-11-22,1187.4409519046544,1192.1
23,2017-11-22,1182.3724322855471,1192.1
24,2017-11-22,1188.0944097816944,1192.1
25,2017-11-22,1189.4936502605676,1192.1
26,2017-11-22,1188.0944097816944,1192.1
27,2017-11-22,1188.0944097816944,1192.1
28,2017-11-22,1186.4566338270902,1190.45
29,2017-11-22,1182.9630231320857,1190.45
30,2017-11-23,1186.5485993117093,1190.45
31,2017-11-23,1186.4889654427766,1190.45
32,2017-11-23,1184.8587335318327,1190.45
33,2017-11-23,1186.4889654427766,1190.45
34,2017-11-23,1188.103750026226,1190.45
35,2017-11-23,1185.838381487131,1190.45
36,2017-11-23,1184.184798964858,1190.45
37,2017-11-23,1184.2932894974947,1190.45
38,2017-11-23,1186.4889654427766,1190.45
39,2017-11-23,1187.2735459834337,1190.45
40,2017-11-23,1186.4889654427766,1190.45
41,2017-11-23,1186.4889654427766,1190.45
42,2017-11-23,1185.0951135665177,1190.45
43,2017-11-23,1189.0661544531583,1190.45
44,2017-11-23,1186.4889654427766,1190.45
45,2017-11-23,1186.4889654427766,1190.45
46,2017-11-23,1187.2735459834337,1190.45
47,2017-11-23,1186.4889654427766,1190.45
48,2017-11-23,1186.4889654427766,1190.45
49,2017-11-23,1185.838381487131,1190.45
50,2017-11-23,1186.4889654427766,1190.45
51,2017-11-23,1186.4889654427766,1190.45
52,2017-11-23,1186.4889654427766,1190.45
53,2017-11-23,1185.215459024906,1190.45
54,2017-11-23,1188.2082889169453,1190.45
55,2017-11-23,1188.103750026226,1190.45
56,2017-11-23,1188.8179194927216,1190.45
57,2017-11-23,1186.4889654427766,1190.45
58,2017-11-23,1188.5844133794308,1190.45
59,2017-11-23,1183.467755576968,1190.45
60,2017-11-23,1188.496758776903,1190.45
61,2017-11-23,1184.6281013399362,1190.45
62,2017-11-23,1186.4889654427766,1190.45
63,2017-11-23,1185.3365229636431,1190.45
64,2017-11-23,1186.4889654427766,1190.45
65,2017-11-23,1184.9754865884781,1190.45
66,2017-11-23,1183.971769541502,1190.45
67,2017-11-23,1188.6663201391696,1190.45
68,2017-11-23,1186.4889654427766,1190.45
69,2017-11-23,1188.950479117036,1190.45
70,2017-11-23,1185.9666302293538,1190.45
71,2017-11-23,1186.4889654427766,1190.45
72,2017-11-23,1189.1645862609148,1190.45
73,2017-11-23,1184.9754865884781,1190.45
74,2017-11-23,1186.4889654427766,1190.45
75,2017-11-23,1182.1500626176596,1190.45
76,2017-11-23,1182.435658556223,1190.45
77,2017-11-23,1186.4889654427766,1190.45
78,2017-11-23,1186.4889654427766,1190.45
79,2017-11-23,1186.4889654427766,1190.45
80,2017-11-23,1189.0661544531583,1190.45
81,2017-11-23,1184.2932894974947,1190.45
82,2017-11-23,1186.4889654427766,1190.45
83,2017-11-23,1187.1018291801213,1190.45
84,2017-11-23,1186.4889654427766,1190.45
85,2017-11-23,1186.4889654427766,1190.45
86,2017-11-23,1183.2475413501263,1190.45
87,2017-11-23,1186.4889654427766,1190.45
88,2017-11-23,1189.2838539987802,1190.45
89,2017-11-23,1186.4889654427766,1190.45
90,2017-11-23,1186.4889654427766,1190.45
91,2017-11-23,1182.668446189165,1190.45
92,2017-11-23,1186.4889654427766,1190.45
93,2017-11-23,1186.4889654427766,1190.45
94,2017-11-23,1184.403935471177,1190.45
95,2017-11-23,1186.4889654427766,1190.45
96,2017-11-23,1186.4889654427766,1190.45
97,2017-11-23,1181.5522869676352,1190.45
98,2017-11-23,1186.4889654427766,1190.45
99,2017-11-23,1184.8587335318327,1190.45
100,2017-11-23,1186.4889654427766,1190.45
101,2017-11-23,1185.0951135665177,1190.45
102,2017-11-23,1184.184798964858,1190.45
103,2017-11-23,1183.467755576968,1190.45
104,2017-11-23,1186.4889654427766,1190.45
105,2017-11-23,1188.2082889169453,1190.45
106,2017-11-23,1186.4889654427766,1190.45
107,2017-11-23,1186.4889654427766,1190.45
108,2017-11-23,1186.4889654427766,1190.45
109,2017-11-23,1186.4889654427766,1190.45
110,2017-11-23,1186.4889654427766,1190.45
111,2017-11-23,1187.6464372843504,1190.45
112,2017-11-23,1186.4889654427766,1190.45
113,2017-11-23,1183.971769541502,1190.45
114,2017-11-23,1181.5522869676352,1190.45
115,2017-11-23,1187.7653457820415,1190.45
116,2017-11-23,1185.7112104654311,1190.45
117,2017-11-23,1186.4889654427766,1190.45
118,2017-11-23,1187.7653457820415,1190.45
119,2017-11-23,1186.4889654427766,1190.45
120,2017-11-23,1185.838381487131,1190.45
121,2017-11-23,1186.4889654427766,1190.45
122,2017-11-23,1187.7211592406034,1190.45
123,2017-11-23,1187.7211592406034,1190.45
124,2017-11-23,1186.4889654427766,1190.45
125,2017-11-23,1186.8837703943252,1190.45
126,2017-11-23,1186.4889654427766,1190.45
127,2017-11-23,1186.4889654427766,1190.45
128,2017-11-23,1187.7653457820415,1190.45
129,2017-11-23,1181.8910504519938,1190.45
130,2017-11-23,1183.7655656814575,1190.45
131,2017-11-23,1185.215459024906,1190.45
132,2017-11-23,1186.8837703943252,1190.45
133,2017-11-23,1184.6528889119625,1190.45
134,2017-11-23,1184.9754865884781,1190.45
135,2017-11-23,1186.4889654427766,1190.45
136,2017-11-23,1186.4889654427766,1190.45
137,2017-11-23,1188.2082889169453,1190.45
138,2017-11-23,1189.3165448546408,1190.45
139,2017-11-23,1186.4889654427766,1190.45
140,2017-11-23,1183.3714792102576,1190.45
141,2017-11-23,1184.515299925208,1190.45
142,2017-11-23,1186.4889654427766,1190.45
143,2017-11-23,1184.403935471177,1190.45
144,2017-11-23,1188.496758776903,1190.45
145,2017-11-23,1181.5522869676352,1190.45
146,2017-11-23,1186.4889654427766,1190.45
147,2017-11-23,1184.9754865884781,1190.45
148,2017-11-23,1186.4889654427766,1190.45
149,2017-11-23,1186.4889654427766,1190.45
150,2017-11-23,1184.0777453929186,1190.45
151,2017-11-23,1183.565468904376,1190.45
