2018-02-16,159.28662374019623,155.65
2018-02-18,156.5856839179993,155.65
2018-02-20,156.4606012439728,155.65
2018-02-21,153.20218198299412,151.55
2018-02-22,154.82246215343477,153.85
2018-02-23,156.6943876862526,156.05
2018-02-24,157.76466932296756,158.25
2018-02-25,158.6248288154602,158.25
2018-02-26,158.6703447341919,158.25
2018-02-27,158.6715355396271,158.25
2018-02-28,158.69978415966034,158.3
2018-03-01,158.7114201675761,158.3
2018-03-03,160.5503622889519,160.4
2018-03-04,160.49435429573063,160.35
2018-03-06,160.4900226712227,160.35
2018-03-07,159.62396602630614,159.3
2018-03-08,159.62268611192704,159.35
2018-03-09,157.9829921245575,160.65
2018-03-10,160.72768557197165,160.65
2018-03-12,161.22832498550417,161.3
2018-03-13,161.31762795448304,161.3
2018-03-14,156.76651918093364,156.0
2018-03-15,158.68810205459593,158.4
2018-03-16,158.1923215866089,155.35
2018-03-17,156.50320932865145,155.35
2018-03-18,156.20789546966554,155.35
2018-03-19,156.21860435009003,152.85
2018-03-20,156.21488316059114,152.6
2018-03-22,154.16472346782686,152.6
2018-03-23,153.89377884387972,152.6
2018-03-24,154.00654718875887,152.7
2018-03-25,153.89731295108797,152.95
2018-03-26,154.23907597064974,152.95
2018-03-27,154.2915428519249,152.15
2018-03-28,153.44041057586668,152.15
2018-03-29,153.04885478019716,151.55
2018-03-30,153.24405032396317,151.7
2018-03-31,152.0920246362686,150.1
2018-04-01,151.3018089389801,149.1
2018-04-02,151.16452778407503,149.1
2018-04-03,150.87064618587493,149.1
2018-04-04,151.68649076223375,150.25
2018-04-05,152.1210130929947,149.3
2018-04-07,151.61673612594606,149.3
2018-04-09,151.1785358428955,152.2
2018-04-10,151.16893811225893,148.5
2018-04-11,153.1878563642502,148.5
2018-04-12,150.65157863497734,148.5
2018-04-13,152.78683729171755,152.05
2018-04-14,153.47411876916885,152.05
2018-04-15,153.56040861606598,152.05
2018-04-17,153.4108659863472,152.05
2018-04-18,158.7593161756342,158.45
2018-04-19,159.05549866274788,158.7
2018-04-21,165.67183623313906,166.75
2018-04-22,166.01189239025118,166.75
2018-04-23,165.9848773479462,166.75
2018-04-24,166.057603263855,167.65
2018-04-25,166.78577365875245,167.65
2018-04-26,169.65614265441894,171.25
2018-04-27,169.2036761379242,170.6
2018-04-28,170.58307955265045,172.3
2018-04-29,169.47596306800844,170.75
